stakeholder;<img src="img_stakeholder.jpg">;[sound:word_stakeholder.mp3];[sound:meaning_stakeholder.mp3];[sound:example_stakeholder.mp3];A stakeholder is a person or group affected by a project or decision.;We shared the plan with every stakeholder before starting.;/ˈsteɪkˌhoʊldər/
roadmap;<img src="img_roadmap.jpg">;[sound:word_roadmap.mp3];[sound:meaning_roadmap.mp3];[sound:example_roadmap.mp3];A roadmap is a plan that shows goals and steps over time.;The product roadmap lists features for the next six months.;/ˈroʊdˌmæp/
governance;<img src="img_governance.jpg">;[sound:word_governance.mp3];[sound:meaning_governance.mp3];[sound:example_governance.mp3];Governance is how rules, roles, and decisions are managed in an organization.;Good governance makes responsibilities clear for everyone.;/ˈɡʌvərnəns/
compliance;<img src="img_compliance.jpg">;[sound:word_compliance.mp3];[sound:meaning_compliance.mp3];[sound:example_compliance.mp3];Compliance means following laws, rules, or standards.;The team updated the process to meet compliance requirements.;/kəmˈplaɪəns/
scalability;<img src="img_scalability.jpg">;[sound:word_scalability.mp3];[sound:meaning_scalability.mp3];[sound:example_scalability.mp3];Scalability is the ability to grow and handle more work without failing.;We improved scalability so the app can support more users.;/ˌskeɪləˈbɪləti/
interoperability;<img src="img_interoperability.jpg">;[sound:word_interoperability.mp3];[sound:meaning_interoperability.mp3];[sound:example_interoperability.mp3];Interoperability is the ability of systems to work together and share data.;Interoperability helps different tools exchange information easily.;/ˌɪntərˌɑːpərəˈbɪləti/
architecture;<img src="img_architecture.jpg">;[sound:word_architecture.mp3];[sound:meaning_architecture.mp3];[sound:example_architecture.mp3];Architecture is the overall design of a system and how parts connect.;The new architecture separates data storage from processing.;/ˈɑːrkɪˌtɛktʃər/
orchestration;<img src="img_orchestration.jpg">;[sound:word_orchestration.mp3];[sound:meaning_orchestration.mp3];[sound:example_orchestration.mp3];Orchestration is coordinating many tasks or services to work as one process.;Orchestration starts each service in the right order.;/ˌɔːrkəˈstreɪʃən/
observability;<img src="img_observability.jpg">;[sound:word_observability.mp3];[sound:meaning_observability.mp3];[sound:example_observability.mp3];Observability is how well you can understand a system using logs, metrics, and traces.;Better observability helped us find the bug quickly.;/əbˌzɝːvəˈbɪləti/
resilience;<img src="img_resilience.jpg">;[sound:word_resilience.mp3];[sound:meaning_resilience.mp3];[sound:example_resilience.mp3];Resilience is the ability to recover after problems or failures.;Resilience keeps the service running during small outages.;/rɪˈzɪliəns/
redundancy;<img src="img_redundancy.jpg">;[sound:word_redundancy.mp3];[sound:meaning_redundancy.mp3];[sound:example_redundancy.mp3];Redundancy means having extra parts so a system still works if something fails.;We added redundancy by using two servers instead of one.;/rɪˈdʌndənsi/
throughput;<img src="img_throughput.jpg">;[sound:word_throughput.mp3];[sound:meaning_throughput.mp3];[sound:example_throughput.mp3];Throughput is how much work a system can handle in a given time.;After the change, throughput increased during peak hours.;/ˈθruːˌpʊt/
latency;<img src="img_latency.jpg">;[sound:word_latency.mp3];[sound:meaning_latency.mp3];[sound:example_latency.mp3];Latency is the delay between a request and the response.;High latency made the page feel slow.;/ˈleɪtənsi/
