Theft of Trade Secrets Is on the Rise;<img src="img_theft_of_trade_secrets_is_on_the_rise.jpg">;[sound:word_theft_of_trade_secrets_is_on_the_rise.mp3];[sound:meaning_theft_of_trade_secrets_is_on_the_rise.mp3];[sound:example_theft_of_trade_secrets_is_on_the_rise.mp3];The stealing of secret business information is happening more often.;The report says theft of trade secrets is on the rise in tech companies.;/θeft əv treɪd ˈsiːkrəts ɪz ɒn ðə raɪz/
sought;<img src="img_sought.jpg">;[sound:word_sought.mp3];[sound:meaning_sought.mp3];[sound:example_sought.mp3];Tried to find or get something.;She sought advice before making a decision.;/sɔːt/
former;<img src="img_former.jpg">;[sound:word_former.mp3];[sound:meaning_former.mp3];[sound:example_former.mp3];Happening in the past or before now.;He met a former coworker at the airport.;/ˈfɔːrmər/
threats;<img src="img_threats.jpg">;[sound:word_threats.mp3];[sound:meaning_threats.mp3];[sound:example_threats.mp3];Statements that say someone will cause harm.;The manager reported threats to the police.;/θrets/
charged;<img src="img_charged.jpg">;[sound:word_charged.mp3];[sound:meaning_charged.mp3];[sound:example_charged.mp3];Officially accused of a crime.;He was charged with theft after the investigation.;/tʃɑːrdʒd/
six theft-related charges;<img src="img_six_theftrelated_charges.jpg">;[sound:word_six_theftrelated_charges.mp3];[sound:meaning_six_theftrelated_charges.mp3];[sound:example_six_theftrelated_charges.mp3];Six official accusations connected to stealing.;The suspect faced six theft-related charges in court.;/sɪks θeft rɪˈleɪtɪd ˈtʃɑːrdʒɪz/
allegedly;<img src="img_allegedly.jpg">;[sound:word_allegedly.mp3];[sound:meaning_allegedly.mp3];[sound:example_allegedly.mp3];Said to have happened but not proven.;He allegedly shared secret files with a rival.;/əˈledʒɪdli/
defendants;<img src="img_defendants.jpg">;[sound:word_defendants.mp3];[sound:meaning_defendants.mp3];[sound:example_defendants.mp3];People accused in a court case.;The defendants denied the claims during the trial.;/dɪˈfendənts/
pursued;<img src="img_pursued.jpg">;[sound:word_pursued.mp3];[sound:meaning_pursued.mp3];[sound:example_pursued.mp3];Tried to achieve something over time.;She pursued a new job after moving.;/pərˈsuːd/
misappropriation;<img src="img_misappropriation.jpg">;[sound:word_misappropriation.mp3];[sound:meaning_misappropriation.mp3];[sound:example_misappropriation.mp3];Using something wrongly, especially money or information.;The company sued for misappropriation of trade secrets.;/ˌmɪsəˌproʊpriˈeɪʃən/
former;<img src="img_former_2.jpg">;[sound:word_former_2.mp3];[sound:meaning_former_2.mp3];[sound:example_former_2.mp3];A person who used to have a role or job.;A former employee knew the system very well.;/ˈfɔːrmər/
